name_primary,artist_id,country_relevance_score,is_country_core,is_country_broad,source_seed,norm_name,hot_country_number_one,hot_country_number_one_matched_name,country_hall_of_fame,country_hall_of_fame_matched_name,billboard_best_country_singers,billboard_best_country_singers_matched_name,in_any_reference_list,reference_list_count,reference_list_hits
LeAnn Rimes,artist_000139,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,leann rimes,False,,False,,False,,False,0,
Mark Collie,artist_000141,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,mark collie,False,,False,,False,,False,0,
Nicolette Larson,artist_000142,0.95,1.0,1.0,Category:American country singer-songwriters,nicolette larson,False,,False,,False,,False,0,
Cody Johnson,artist_000143,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,cody johnson,False,,False,,False,,False,0,
Billy Parker,artist_000144,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Oklahoma,billy parker,False,,False,,False,,False,0,
Carson Robison,artist_000145,0.95,1.0,1.0,Category:American country singer-songwriters,carson robison,False,,False,,False,,False,0,
Post Malone,artist_000146,0.95,1.0,1.0,Category:American country singer-songwriters,post malone,False,,False,,False,,False,0,
Eddie Cochran,artist_000147,0.95,1.0,1.0,Category:American country singer-songwriters,eddie cochran,False,,False,,False,,False,0,
Clare Dunn,artist_000149,0.95,1.0,1.0,Category:American country singer-songwriters,clare dunn,False,,False,,False,,False,0,
Jessi Alexander,artist_000151,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,jessi alexander,False,,False,,False,,False,0,
George Ducas,artist_000153,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,george ducas,False,,False,,False,,False,0,
Jason Aldean,artist_000154,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,jason aldean,False,,False,,False,,False,0,
Billy Currington,artist_000155,0.95,1.0,1.0,Category:American country singer-songwriters,billy currington,False,,False,,False,,False,0,
Chad Brock,artist_000156,0.95,1.0,1.0,Category:American country singer-songwriters,chad brock,False,,False,,False,,False,0,
Claude Gray,artist_000157,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,claude gray,False,,False,,False,,False,0,
James Otto,artist_000159,0.95,1.0,1.0,Category:American country singer-songwriters,james otto,False,,False,,False,,False,0,
Josh Turner,artist_000160,0.95,1.0,1.0,Category:American country singer-songwriters,josh turner,False,,False,,False,,False,0,
Jack Clement,artist_000162,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,jack clement,False,,False,,False,,False,0,
Billy Grammer,artist_000163,0.95,1.0,1.0,Category:American country singer-songwriters,billy grammer,False,,False,,False,,False,0,
Doyle Dykes,artist_000167,0.95,1.0,1.0,Category:American country singer-songwriters,doyle dykes,False,,False,,False,,False,0,
Al Hurricane,artist_000169,0.95,1.0,1.0,Category:American country singer-songwriters,al hurricane,False,,False,,False,,False,0,
Al Downing,artist_000170,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Oklahoma,al downing,False,,False,,False,,False,0,
Craig Wayne Boyd,artist_000171,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,craig wayne boyd,False,,False,,False,,False,0,
Marie Osmond,artist_000172,0.95,1.0,1.0,Category:American country singer-songwriters,marie osmond,False,,False,,False,,False,0,
Harley Allen,artist_000173,0.95,1.0,1.0,Category:American country singer-songwriters,harley allen,False,,False,,False,,False,0,
Elton Britt,artist_000174,0.95,1.0,1.0,Category:American country singer-songwriters,elton britt,False,,False,,False,,False,0,
Susie Allanson,artist_000175,0.95,1.0,1.0,Category:American country singer-songwriters,susie allanson,False,,False,,False,,False,0,
Billie Jo Spears,artist_000176,0.85,1.0,1.0,Category:Country musicians from Texas,billie jo spears,False,,False,,False,,False,0,
Jeff Bridges,artist_000177,0.85,1.0,1.0,Category:American country singer-songwriters,jeff bridges,False,,False,,False,,False,0,
Buddy Starcher,artist_000178,1.0,1.0,1.0,Category:American country singer-songwriters,buddy starcher,False,,False,,False,,False,0,
Priscilla Block,artist_000179,1.0,1.0,1.0,Category:American country singer-songwriters,priscilla block,False,,False,,False,,False,0,
Carter Faith,artist_000180,1.0,1.0,1.0,Category:American country singer-songwriters,carter faith,False,,False,,False,,False,0,
Koe Wetzel,artist_000181,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,koe wetzel,False,,False,,False,,False,0,
Anne Wilson,artist_000182,1.0,1.0,1.0,Category:American country singer-songwriters,anne wilson,False,,False,,False,,False,0,
Harold Morrison,artist_000183,1.0,1.0,1.0,Category:American country singer-songwriters,harold morrison,False,,False,,False,,False,0,
Mervin Shiner,artist_000184,1.0,1.0,1.0,Category:American country singer-songwriters,mervin shiner,False,,False,,False,,False,0,
Clarence White,artist_000185,1.0,1.0,1.0,Category:American country singer-songwriters,clarence white,False,,False,,False,,False,0,
Clayton McMichen,artist_000186,1.0,1.0,1.0,Category:American country singer-songwriters,clayton mcmichen,False,,False,,False,,False,0,
Drake Milligan,artist_000187,1.0,1.0,1.0,Category:American country singers|Category:Country musicians from Texas,drake milligan,False,,False,,False,,False,0,
Ernest,artist_000188,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,ernest,False,,False,,False,,False,0,
Frank Ray,artist_000189,1.0,1.0,1.0,Category:American country singers,frank ray,False,,False,,False,,False,0,
Jackson Dean,artist_000190,1.0,1.0,1.0,Category:American country singer-songwriters,jackson dean,False,,False,,False,,False,0,
Conner Smith,artist_000191,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,conner smith,False,,False,,False,,False,0,
Corey Kent,artist_000192,1.0,1.0,1.0,Category:American country singer-songwriters|Category:American country singers|Category:Country musicians from Oklahoma,corey kent,False,,False,,False,,False,0,
David Kersh,artist_000193,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,david kersh,False,,False,,False,,False,0,
Billy Byrd,artist_000194,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,billy byrd,False,,False,,False,,False,0,
Slim Lehart,artist_000195,1.0,1.0,1.0,Category:American country singers,slim lehart,False,,False,,False,,False,0,
Vincent Neil Emerson,artist_000196,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,vincent neil emerson,False,,False,,False,,False,0,
Sam Barber,artist_000197,1.0,1.0,1.0,Category:American country singer-songwriters,sam barber,False,,False,,False,,False,0,
Tucker Wetmore,artist_000198,1.0,1.0,1.0,Category:American country singer-songwriters,tucker wetmore,False,,False,,False,,False,0,
Tanner Adell,artist_000199,1.0,1.0,1.0,Category:American country singer-songwriters,tanner adell,False,,False,,False,,False,0,
Wyatt Flores,artist_000200,1.0,1.0,1.0,Category:American country singer-songwriters,wyatt flores,False,,False,,False,,False,0,
John Morgan,artist_000201,1.0,1.0,1.0,Category:American country singer-songwriters,john morgan,False,,False,,False,,False,0,
Zach Top,artist_000202,1.0,1.0,1.0,Category:American country singer-songwriters,zach top,False,,False,,False,,False,0,
Kenneth C. Burns,artist_000203,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,kenneth c burns,False,,False,,False,,False,0,
