seed_title,source_seed,wikidata_qid
Mary Duff,artist_universe_full_targeted,Q6779346
Mary Jo Chelette,artist_universe_full_targeted,
Mary Mary,artist_universe_full_targeted,Q1906374
Masorti,artist_universe_full_targeted,Q14396124
Matt Lang,artist_universe_full_targeted,Q108670654
Max Bartoskiewicz,artist_universe_full_targeted,Q1912203
Mazzy Star,artist_universe_full_targeted,Q1132765
McGuffey Lane,artist_universe_full_targeted,Q16951039
McHayes,artist_universe_full_targeted,Q6801551
Meesha,artist_universe_full_targeted,Q135649450
Melanie,artist_universe_full_targeted,Q1064920
Mendoza Line,artist_universe_full_targeted,Q1037153
Mercury Grand Marquis,artist_universe_full_targeted,Q1360787
Mica Roberts,artist_universe_full_targeted,Q16735295
Mike Ryan,artist_universe_full_targeted,
Milton Brown,artist_universe_full_targeted,
Mischief Brew,artist_universe_full_targeted,Q15053742
Mitch Zorn,artist_universe_full_targeted,Q136890298
Monster Magnet,artist_universe_full_targeted,Q1430616
Montgomery Gentry,artist_universe_full_targeted,Q1190454
Mood Swings,artist_universe_full_targeted,Q16875535
Moriah,artist_universe_full_targeted,Q20978866
Mr. Mister,artist_universe_full_targeted,Q1334471
Mr. Swing,artist_universe_full_targeted,Q131610603
Mudcrutch,artist_universe_full_targeted,Q1811198
Nashville Bluegrass Band,artist_universe_full_targeted,Q10335608
Nashville Pussy,artist_universe_full_targeted,Q1965814
Nazz,artist_universe_full_targeted,Q1346522
Needtobreathe,artist_universe_full_targeted,Q1817575
Nelson Clark Dale,artist_universe_full_targeted,Q115294535
New Riders of the Purple Sage,artist_universe_full_targeted,Q1420833
New York Rock & Roll Ensemble,artist_universe_full_targeted,Q16956415
Nickel Creek,artist_universe_full_targeted,Q1895390
Nothing More,artist_universe_full_targeted,Q18157965
Nova Rockafeller,artist_universe_full_targeted,Q104853548
Odell McLeod,artist_universe_full_targeted,
Okkervil River,artist_universe_full_targeted,Q2017294
Old Dominion,artist_universe_full_targeted,Q7083856
OneRepublic,artist_universe_full_targeted,Q1438730
Osage,artist_universe_full_targeted,Q155431
Osborne Brothers,artist_universe_full_targeted,Q3522116
Pacer,artist_universe_full_targeted,Q1271757
Papa San,artist_universe_full_targeted,Q2050497
Parmalee,artist_universe_full_targeted,Q7139162
Parquet Courts,artist_universe_full_targeted,Q16740568
Paul Adkins,artist_universe_full_targeted,Q100742981
Paul Brandt,artist_universe_full_targeted,Q2058983
Paul Foster,artist_universe_full_targeted,Q11771069
Paul Peek,artist_universe_full_targeted,Q135718122
Pearls Before Swine,artist_universe_full_targeted,Q1849048
Pere Ubu,artist_universe_full_targeted,Q1500073
Pete Rock & CL Smooth,artist_universe_full_targeted,
Phantom Planet,artist_universe_full_targeted,Q1756608
Phil Lee,artist_universe_full_targeted,Q1477278
Pilot Speed,artist_universe_full_targeted,Q1541627
Pinback,artist_universe_full_targeted,Q1455399
Plumb,artist_universe_full_targeted,Q1907299
Poor Man's Poison,artist_universe_full_targeted,Q114000123
Psychograss,artist_universe_full_targeted,Q1830015
Pteropodidae,artist_universe_full_targeted,Q185230
Puss n Boots,artist_universe_full_targeted,Q16967982
Quasi,artist_universe_full_targeted,Q15881089
R.E.M.,artist_universe_full_targeted,Q134969
Rachel Brooke,artist_universe_full_targeted,Q117885926
Radio 4,artist_universe_full_targeted,Q1126462
Raquel Cole,artist_universe_full_targeted,Q115492454
