artist_id,name_primary,chart_artist_name,artist_resolution,song_name,song_key,best_chart_year,best_chart_pos,all_chart_years,all_chart_positions,source_titles
artist_000442,Little Texas,Little Texas,existing_artist,Stop on a Dime,stop on a dime,1994,14,1994,14,1994 in country music
artist_001730,Lois Johnson,Lois Johnson,existing_artist,Come on In and Let Me Love You,come on in and let me love you,1974,19,1974,19,1974 in country music
artist_001310,Lonestar,Lonestar,existing_artist,Everything's Changed,everything s changed,1998,2,1998,2,1998 in country music
artist_001310,Lonestar,Lonestar,existing_artist,I'm Already There,i m already there,2001,1,2001,1,2001 in country music
artist_001310,Lonestar,Lonestar,existing_artist,With Me,with me,2001,10,2001,10,2001 in country music
artist_000786,Loretta Lynn,Loretta Lynn,existing_artist,Before I'm Over You,before i m over you,1964,4,1964,4,1964 in country music
artist_000786,Loretta Lynn,Loretta Lynn,existing_artist,Hey Loretta,hey loretta,1974,3,1974,3,1974 in country music
artist_000786,Loretta Lynn,Loretta Lynn,existing_artist,I'm a Honky Tonk Girl,i m a honky tonk girl,1960,14,1960,14,1960 in country music
artist_000786,Loretta Lynn,Loretta Lynn,existing_artist,They Don't Make 'em Like My Daddy,they don t make em like my daddy,1974,4,1974,4,1974 in country music
artist_000786,Loretta Lynn,Loretta Lynn,existing_artist,Trouble in Paradise,trouble in paradise,1974,14,1974,14,1974 in country music
artist_000041,Lorrie Morgan,Lorrie Morgan,existing_artist,A Picture of Me (Without You),a picture of me,1991,9,1991,9,1991 in country music
artist_000041,Lorrie Morgan,Lorrie Morgan,existing_artist,One of Those Nights Tonight,one of those nights tonight,1998,14,1998,14,1998 in country music
artist_000041,Lorrie Morgan,Lorrie Morgan,existing_artist,We Both Walk,we both walk,1991,3,1991,3,1991 in country music
artist_002012,Lou Smith,Lou Smith,existing_artist,Cruel Love,cruel love,1960,9,1960,9,1960 in country music
artist_000150,Luke Bryan,Luke Bryan,existing_artist,Country Girl (Shake It for Me),country girl,2011,4,2011,4,2011 in country music
artist_000150,Luke Bryan,Luke Bryan,existing_artist,Drink a Beer,drink a beer,2014,1,2014,1,2014 in country music
artist_000150,Luke Bryan,Luke Bryan,existing_artist,"Huntin', Fishin' and Lovin' Every Day",huntin fishin and lovin every day,2016,2,2016,2,2016 in country music
artist_000150,Luke Bryan,Luke Bryan,existing_artist,I Don't Want This Night to End,i don t want this night to end,2012,1,2012,1,2012 in country music
artist_000150,Luke Bryan,Luke Bryan,existing_artist,Kiss Tomorrow Goodbye,kiss tomorrow goodbye,2012,3,2012,3,2012 in country music
artist_000150,Luke Bryan,Luke Bryan,existing_artist,Play It Again,play it again,2014,1,2014,1,2014 in country music
artist_000150,Luke Bryan,Luke Bryan,existing_artist,That's My Kind of Night,that s my kind of night,2013,1,2013,1,2013 in country music
artist_000025,Luke Combs,Luke Combs,existing_artist,Ain't No Love in Oklahoma,ain t no love in oklahoma,2024,3,2024,3,2024 in country music
artist_000025,Luke Combs,Luke Combs,existing_artist,Beautiful Crazy,beautiful crazy,2019,1,2019,1,2019 in country music
artist_000025,Luke Combs,Luke Combs,existing_artist,Better Together,better together,2021,1,2021,1,2021 in country music
artist_000025,Luke Combs,Luke Combs,existing_artist,Even Though I'm Leaving,even though i m leaving,2019,2,2019,2,2019 in country music
artist_000025,Luke Combs,Luke Combs,existing_artist,Fast Car,fast car,2023,1,2023,1,2023 in country music
artist_000025,Luke Combs,Luke Combs,existing_artist,"Going, Going, Gone",going going gone,2023,5,2023,5,2023 in country music
artist_000025,Luke Combs,Luke Combs,existing_artist,Must've Never Met You,must ve never met you,2018,14,2018,14,2018 in country music
artist_000025,Luke Combs,Luke Combs,existing_artist,Where the Wild Things Are,where the wild things are,2024,4,2024,4,2024 in country music
artist_001512,Mac Davis,Mac Davis,existing_artist,Stop and Smell the Roses,stop and smell the roses,1974,40,1974,40,1974 in country music
artist_000254,Mac Wiseman,Mac Wiseman,existing_artist,Jimmy Brown the Newsboy,jimmy brown the newsboy,1959,5,1959,5,1959 in country music
artist_000063,Maren Morris,Maren Morris,existing_artist,Girl,girl,2019,8,2019,8,2019 in country music
artist_000063,Maren Morris,Maren Morris,existing_artist,I Could Use a Love Song,i could use a love song,2018,7,2018,7,2018 in country music
artist_000063,Maren Morris,Maren Morris,existing_artist,My Church,my church,2016,5,2016,5,2016 in country music
artist_000063,Maren Morris,Maren Morris,existing_artist,Rich,rich,2018,8,2018,8,2018 in country music
artist_000063,Maren Morris,Maren Morris,existing_artist,The Bones,the bones,2020,1,2020,1,2020 in country music
artist_001745,Margie Bowes,Margie Bowes,existing_artist,My Love and Little Me,my love and little me,1959,15,1959,15,1959 in country music
artist_001745,Margie Bowes,Margie Bowes,existing_artist,Poor Old Heartsick Me,poor old heartsick me,1959,10,1959,10,1959 in country music
artist_001746,Margie Singleton,Margie Singleton,existing_artist,Eyes of Love,eyes of love,1960,12,1960,12,1960 in country music
artist_001746,Margie Singleton,Margie Singleton,existing_artist,Old Records,old records,1964,11,1964,11,1964 in country music
artist_002252,Marilyn Sellars,Marilyn Sellars,existing_artist,One Day at a Time,one day at a time,1974,19,1974,19,1974 in country music
