artist_id,name_primary,chart_artist_name,artist_resolution,song_name,song_key,best_chart_year,best_chart_pos,all_chart_years,all_chart_positions,source_titles,source_kinds,artist_in_adjacent,artist_in_full
artist_001857,Faron Young,Faron Young,existing_artist,It's Four in the Morning,it s four in the morning,1972,1,1972,1,List of Hot Country Singles number ones of 1972,weekly_number_one_wikipedia,0,1
artist_001857,Faron Young,Faron Young,existing_artist,Last Night at a Party,last night at a party,1959,20,1959,20,1959 in country music,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,"Live Fast, Love Hard, Die Young",live fast love hard die young,1955,5,1955,5,Billboard Top Country & Western Records of 1955,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,My Friend on the Right,my friend on the right,1964,11,1964,11,1964 in country music,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,Some Kind of a Woman,some kind of a woman,1974,8,1974,8,1974 in country music,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,Sweet Dreams,sweet dreams,1956,13,1956,13,Billboard Top Country & Western Records of 1956,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,That's the Way I Feel,that s the way i feel,1958,9,1958,9,1958 in country music,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,That's the Way It's Gotta Be,that s the way it s gotta be,1959,14,1959,14,1959 in country music,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,The Wrong in Loving You,the wrong in loving you,1974,20,1974,20,1974 in country music,year_end,0,1
artist_001857,Faron Young,Faron Young,existing_artist,You'll Drive Me Back (Into Her Arms Again),you ll drive me back,1964,10,1964,10,1964 in country music,year_end,0,1
artist_002585,Faron Young and Margie Singleton,Faron Young and Margie Singleton,existing_artist,Keeping Up with the Joneses,keeping up with the joneses,1964,5,1964,5,1964 in country music,year_end,0,0
artist_001555,Ferlin Husky,Ferlin Husky,existing_artist,A Fallen Star,a fallen star,1957,8,1957,8,Billboard Top Country & Western Records of 1957,year_end,0,1
artist_001555,Ferlin Husky,Simon Crum,existing_artist,Country Music is Here to Stay,country music is here to stay,1959,2,1959|1959,2|14,1959 in country music|Billboard year-end top 50 country & western singles of 1959,year_end|year_end_wikipedia,0,0
artist_001555,Ferlin Husky,Simon Crum,existing_artist,Cuzz You're So Sweet,cuzz you re so sweet,1955,20,1955,20,Billboard Top Country & Western Records of 1955,year_end,0,0
artist_001555,Ferlin Husky,Ferlin Husky,existing_artist,Draggin' the River,draggin the river,1959,11,1959,11,1959 in country music,year_end,0,1
artist_001555,Ferlin Husky,Ferlin Husky,existing_artist,My Reason for Leaving,my reason for leaving,1959,14,1959,14,1959 in country music,year_end,0,1
artist_001555,Ferlin Husky,Ferlin Husky,existing_artist,On the Wings of a Dove,on the wings of a dove,1961,10,1961,10,Billboard year-end top 50 country & western singles of 1961,year_end_wikipedia,0,1
artist_001555,Ferlin Husky,Ferlin Husky,existing_artist,Rosie Cries a Lot,rosie cries a lot,1974,17,1974,17,1974 in country music,year_end,0,1
artist_001555,Ferlin Husky,Ferlin Husky,existing_artist,Timber I'm Falling,timber i m falling,1964,13,1964,13,1964 in country music,year_end,0,1
artist_002497,Flatt and Scruggs,Flatt & Scruggs,existing_artist,Cabin in the Hills,cabin in the hills,1959,9,1959|1959,9|29,1959 in country music|Billboard year-end top 50 country & western singles of 1959,year_end|year_end_wikipedia,1,1
artist_002497,Flatt and Scruggs,Flatt & Scruggs,existing_artist,Petticoat Junction,petticoat junction,1964,14,1964,14,1964 in country music,year_end,1,1
artist_001317,Florida Georgia Line,Florida Georgia Line,existing_artist,H.O.L.Y.,h o l y,2016,1,2016,1,2016 in country music,year_end,0,1
artist_001967,Floyd Cramer,Floyd Cramer,existing_artist,San Antonio Rose,san antonio rose,1961,47,1961,47,Billboard year-end top 50 country & western singles of 1961,year_end_wikipedia,0,1
artist_000217,Floyd Tillman,Floyd Tillman,existing_artist,I Love You So Much It Hurts,i love you so much it hurts,1948,20,1948,20,1948 in country music,year_end,0,1
artist_000189,Frank Ray,Frank Ray,existing_artist,Country'd Look Good on You,country d look good on you,2022,46,2022,46,2022 in country music,year_end,0,1
artist_000568,Frankie Ballard,Frankie Ballard,existing_artist,Helluva Life,helluva life,2014,8,2014,8,2014 in country music,year_end,0,1
artist_000568,Frankie Ballard,Frankie Ballard,existing_artist,It All Started with a Beer,it all started with a beer,2016,22,2016,22,2016 in country music,year_end,0,1
artist_000568,Frankie Ballard,Frankie Ballard,existing_artist,Sunshine & Whiskey,sunshine and whiskey,2014,5,2014,5,2014 in country music,year_end,0,1
artist_000568,Frankie Ballard,Frankie Ballard,existing_artist,Young & Crazy,young and crazy,2015,8,2015,8,2015 in country music,year_end,0,1
artist_000559,Frankie Miller,Frankie Miller,existing_artist,Baby Rocked Her Dolly,baby rocked her dolly,1960,15,1960,15,1960 in country music,year_end,0,1
artist_000559,Frankie Miller,Frankie Miller,existing_artist,Black Land Farmer,black land farmer,1959,5,1959|1959,5|20,1959 in country music|Billboard year-end top 50 country & western singles of 1959,year_end|year_end_wikipedia,0,1
